City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Kivsharivka,44,Good,1,Good,39,Good,0,Good,44,Good
Kodar,102,Unhealthy for Sensitive Groups,1,Good,22,Good,2,Good,102,Unhealthy for Sensitive Groups
Kodungallur,79,Moderate,1,Good,24,Good,0,Good,79,Moderate
Komsomolskoye,42,Good,1,Good,42,Good,0,Good,42,Good
Kopavogur,23,Good,1,Good,23,Good,0,Good,21,Good
Koupela,55,Moderate,1,Good,17,Good,0,Good,55,Moderate
Kozmodemyansk,33,Good,1,Good,33,Good,0,Good,29,Good
Kracheh,50,Good,1,Good,27,Good,0,Good,50,Good
Kresek,203,Very Unhealthy,4,Good,203,Very Unhealthy,4,Good,158,Unhealthy
Kumo,57,Moderate,2,Good,21,Good,0,Good,57,Moderate
Kurihashi,34,Good,1,Good,34,Good,3,Good,19,Good
Kurtalan,44,Good,1,Good,44,Good,0,Good,27,Good
Labangan,42,Good,0,Good,13,Good,0,Good,42,Good
Ladson,44,Good,1,Good,37,Good,4,Good,44,Good
Limbiate,77,Moderate,1,Good,43,Good,4,Good,77,Moderate
Littau,41,Good,1,Good,22,Good,3,Good,41,Good
Liuzhou,149,Unhealthy for Sensitive Groups,4,Good,149,Unhealthy for Sensitive Groups,2,Good,120,Unhealthy for Sensitive Groups
Livingstone,27,Good,1,Good,17,Good,0,Good,27,Good
Loano,69,Moderate,1,Good,45,Good,2,Good,69,Moderate
Lolodorf,73,Moderate,2,Good,26,Good,0,Good,73,Moderate
Lombardia,47,Good,1,Good,9,Good,3,Good,47,Good
Lorient,40,Good,1,Good,23,Good,3,Good,40,Good
Lowestoft,33,Good,0,Good,33,Good,1,Good,10,Good
